ID;Note;Amount;Category;Account;Currency;Date;Event;Exclude Report
4942;Sunshine White Bread 400g;-2;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4941;Ruffles original potatoe chips;-0.8;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4940;Nscafe IP WC GAO;-6.95;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4939;Hershey's cookies and cream nuggets;-2.7;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4938;D-plus strawberry strawberry bun;-1.3;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4937;D-plus Hokkaido bun;-1.3;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4936;Camel cracker peanut 150g;-1.45;Food & Beverage;Main Wallet;SGD;02/05/2020;No
4934;"Yew tee square kopitiam Maggie noddle, 1 hash brown, cabbage #junkfood";-3.4;Food & Beverage;Main Wallet;SGD;30/04/2020;No
4935;HCL Monthly Salary;2100;Salary;Main Wallet;SGD;30/04/2020;No
4932;Marigold yogurt savings;2.9;Gifts;Main Wallet;SGD;29/04/2020;No
4931;Marigold Strawberry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4930;Marigold Na Ta Deco yogurt;-2.2;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4929;T Honey Cherry tomato;-1.5;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4928;NCN bakery potato Nacho cheese bun 92g;-1.3;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4927;NCN bakery chicken and ham cheese 90g;-1.3;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4926;D-plus Hokkaido bun;-1;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4925;Crunchy first baby butterhead lettuce 160g;-2.85;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4924;Yew tee square kopitiam roasted chicken rice;-4.2;Food & Beverage;Main Wallet;SGD;29/04/2020;No
4933;Purchase of 0.7148 eth;-200;Crypto;Main Wallet;SGD;29/04/2020;No
4923;"CDA Chicken chop with rice, fries";-3;Food & Beverage;Main Wallet;SGD;28/04/2020;No
4922;CDA Chicken Burger with fries;-2;Food & Beverage;Main Wallet;SGD;27/04/2020;No
4921;Sunshine White Bread 400g;-1.7;Food & Beverage;Main Wallet;SGD;26/04/2020;No
4920;NCN bakery yam bun 100g;-1.3;Food & Beverage;Main Wallet;SGD;26/04/2020;No
4919;NCN bakery yam bun 100g;-1.3;Food & Beverage;Main Wallet;SGD;26/04/2020;No
4918;NCN bakery potato Nacho cheese bun 92g;-1.3;Food & Beverage;Main Wallet;SGD;26/04/2020;No
4917;Gomo phone bill;-20;Bills;Main Wallet;SGD;25/04/2020;No
4915;"CDA Malay food rice with lemak, 3 nuggets, cucumber and 1 egg";-2;Food & Beverage;Main Wallet;SGD;24/04/2020;No
4916;Great Eastern medical insurance;-66.44;Insurance;Main Wallet;SGD;24/04/2020;No
4914;Marigold yogurt savings;2.9;Gifts;Main Wallet;SGD;22/04/2020;No
4908;Shokabutsu Radiance Vitalizing & Whitening (R) 660ml;-4.8;Shopping;Main Wallet;SGD;22/04/2020;No
4913;Marigold Strawberry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4912;Marigold Na Ta Deco yogurt;-2.2;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4911;Marigold Mixed Berry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4910;Marigold Aloe Vera Yogurt;-2.2;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4909;T Honey Cherry tomato;-1.5;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4907;Lays Sour Cream & Onion potato chips 28.3g;-1;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4906;Gardenia herb wraps 250g;-2.8;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4905;Camel Roast peanuts 150g;-1.45;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4904;Crunchy first baby butterhead lettuce 160g;-2.85;Food & Beverage;Main Wallet;SGD;22/04/2020;No
4903;"CDA Malay food rice with lemak, toufu, cabbage";-2.5;Food & Beverage;Main Wallet;SGD;21/04/2020;No
4902;Ubi Coffee shop Nasi Goreng;-3.5;Food & Beverage;Main Wallet;SGD;20/04/2020;No
4900;Oxy cover 25g;-5.7;Health & Fitness;Main Wallet;SGD;19/04/2020;No
4901;Daiyo HDMI cable 2m;-24.9;Shopping;Main Wallet;SGD;19/04/2020;No
4899;Humble Bundle Evernote 3 month premium subscription;-1.42;Investment;Main Wallet;SGD;19/04/2020;No
4897;FP 3 BSIC UMBRELLA;-5.9;Investment;Main Wallet;SGD;19/04/2020;No
4898;Nscafe Hazelnut Coffee;-6.95;Food & Beverage;Main Wallet;SGD;19/04/2020;No
4896;Bahlsen vanilla creamy waffers;-3.35;Food & Beverage;Main Wallet;SGD;19/04/2020;No
4895;"CDA Malay food Maggi mee, 3 nuggets, 1 bagadil and toufu";-3.5;Food & Beverage;Main Wallet;SGD;17/04/2020;No
4894;Marigold yogurt savings;2.9;Gifts;Main Wallet;SGD;16/04/2020;No
4884;Kleenex Ultra Soft 4 packets of tissue;-5.95;Investment;Main Wallet;SGD;16/04/2020;No
4893;Marigold Mixed Berry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4892;Marigold Mixed Berry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4891;Marigold Strawberry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4890;Marigold Na Ta Deco yogurt;-2.2;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4889;Sunshine White Bread 400g;-1.7;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4888;7 Days Corn Crossiant bun 60g;-1;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4887;7 Days Vanilla Crossiant bun 60g;-1;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4886;Hello panda strawberry biscuits;-0.95;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4885;Hello panda milk biscuits;-0.95;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4883;Hershey's cookies and cream chocolate bar 102g;-4;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4882;D-plus yuzu citrus bun 80g;-1;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4881;D-plus strawberry strawberry bun;-1;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4880;Camel cracker peanut 150g;-1.45;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4879;Bibik's choice BBQ chicken patties 300g;-3.75;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4878;Crunchy first baby butterhead lettuce 160g;-2.85;Food & Beverage;Main Wallet;SGD;16/04/2020;No
4877;"Purchase of 37,629 VET";-200;Crypto;Main Wallet;SGD;15/04/2020;No
4876;Covid 19 stimulus package;600;Gifts;Main Wallet;SGD;14/04/2020;No
4875;"CDA Malay food, 3 nuggets, fish ball soup and cabbage";-3;Food & Beverage;Main Wallet;SGD;14/04/2020;No
4874;Marigold yogurt savings;2.9;Gifts;Main Wallet;SGD;13/04/2020;No
4873;T Honey Cherry tomato;-1.5;Food & Beverage;Main Wallet;SGD;13/04/2020;No
4872;Marigold Strawberry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;13/04/2020;No
4871;Marigold Strawberry yogurt;-2.2;Food & Beverage;Main Wallet;SGD;13/04/2020;No
4870;Marigold Na Ta Deco yogurt;-2.2;Food & Beverage;Main Wallet;SGD;13/04/2020;No
